时间戳,绝对时间,相对时间(s),功能码,参数,校验通过,MagNorm,Mx,My,Mz
19:33:44.875,19:33:44.875,10764.535,0x8A,0x00,True,4,3.15,3.78,-0.43
19:34:14.870,19:34:14.870,10794.53,0x8A,0x00,True,4,3.17,3.77,-0.47
19:34:44.840,19:34:44.840,10824.5,0x8A,0x00,True,4,3.14,3.81,-0.46
19:35:14.828,19:35:14.828,10854.488,0x8A,0x00,True,4,3.17,3.82,-0.47
19:35:44.825,19:35:44.825,10884.485,0x8A,0x00,True,4,3.14,3.83,-0.47
19:36:14.820,19:36:14.820,10914.48,0x8A,0x00,True,4,3.16,3.78,-0.45
19:36:44.814,19:36:44.814,10944.474,0x8A,0x00,True,4,3.17,3.82,-0.44
19:37:14.790,19:37:14.790,10974.45,0x8A,0x00,True,4,3.17,3.81,-0.52
19:37:44.785,19:37:44.785,11004.445,0x8A,0x00,True,4,3.15,3.8,-0.46
19:38:14.760,19:38:14.760,11034.42,0x8A,0x00,True,4,3.16,3.83,-0.45
19:38:44.750,19:38:44.750,11064.41,0x8A,0x00,True,4,3.17,3.77,-0.51
19:39:14.740,19:39:14.740,11094.4,0x8A,0x00,True,5,3.17,3.83,-0.49
19:39:44.715,19:39:44.715,11124.375,0x8A,0x00,True,4,3.16,3.8,-0.55
19:40:14.725,19:40:14.725,11154.385,0x8A,0x00,True,4,3.17,3.77,-0.48
19:40:44.705,19:40:44.705,11184.365,0x8A,0x00,True,4,3.18,3.82,-0.44
19:41:14.680,19:41:14.680,11214.34,0x8A,0x00,True,5,3.2,3.81,-0.52
19:41:44.665,19:41:44.665,11244.325,0x8A,0x00,True,5,3.17,3.83,-0.53
19:42:14.660,19:42:14.660,11274.32,0x8A,0x00,True,4,3.17,3.83,-0.47
19:42:44.650,19:42:44.650,11304.31,0x8A,0x00,True,4,3.17,3.83,-0.46
19:43:14.635,19:43:14.635,11334.295,0x8A,0x00,True,5,3.21,3.83,-0.45
19:43:44.630,19:43:44.630,11364.29,0x8A,0x00,True,5,3.17,3.84,-0.47
19:44:14.595,19:44:14.595,11394.255,0x8A,0x00,True,5,3.21,3.85,-0.5
19:44:44.605,19:44:44.605,11424.265,0x8A,0x00,True,4,3.18,3.81,-0.48
19:45:14.584,19:45:14.584,11454.244,0x8A,0x00,True,5,3.18,3.84,-0.5
19:45:44.575,19:45:44.575,11484.235,0x8A,0x00,True,4,3.16,3.81,-0.44
19:46:14.560,19:46:14.560,11514.22,0x8A,0x00,True,4,3.16,3.81,-0.45
